t,com_des_y,com_ff_y,com_x,com_y,com_z,margin_full,margin_left,margin_right,pelvis_roll,pelvis_pitch,Fn_left,Fn_right,slip_left,slip_right,n_contact_left,n_contact_right,sat_count,q_l_hip_yaw,q_l_hip_roll,q_l_hip_pitch,q_l_knee_pitch,q_l_ankle_pitch,q_l_ankle_roll,q_r_hip_yaw,q_r_hip_roll,q_r_hip_pitch,q_r_knee_pitch,q_r_ankle_pitch,q_r_ankle_roll,qd_l_hip_yaw,qd_l_hip_roll,qd_l_hip_pitch,qd_l_knee_pitch,qd_l_ankle_pitch,qd_l_ankle_roll,qd_r_hip_yaw,qd_r_hip_roll,qd_r_hip_pitch,qd_r_knee_pitch,qd_r_ankle_pitch,qd_r_ankle_roll,tau_l_hip_yaw,tau_l_hip_roll,tau_l_hip_pitch,tau_l_knee_pitch,tau_l_ankle_pitch,tau_l_ankle_roll,tau_r_hip_yaw,tau_r_hip_roll,tau_r_hip_pitch,tau_r_knee_pitch,tau_r_ankle_pitch,tau_r_ankle_roll
0.02,0,0,0.00307304,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.27377e-17,-0.00280153,10.1043,10.1043,3.1779e-08,3.1779e-08,4,4,0,-5.53295e-19,-1.23e-18,-0.100003,0.201739,-0.100667,3.67138e-17,-3.62288e-18,-1.28339e-17,-0.100003,0.201739,-0.100667,-3.23072e-17,5.1815e-16,1.20905e-15,-2.7969e-07,6.49906e-06,9.29801e-06,-2.92352e-16,-3.59451e-16,-1.14885e-15,-2.7969e-07,6.49906e-06,9.29801e-06,-4.57188e-17,-4.80305e-17,-2.09501e-15,0.000151553,-0.0782785,0.0200161,-1.12902e-15,1.53231e-16,2.44106e-15,0.000151553,-0.0782785,0.0200161,9.74956e-16
0.022,0,0,0.00307303,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.41035e-17,-0.00280158,10.1043,10.1043,3.48829e-08,3.48829e-08,4,4,0,3.41954e-19,1.43319e-18,-0.100003,0.201739,-0.100667,3.62174e-17,-4.21373e-18,-1.54208e-17,-0.100003,0.201739,-0.100667,-3.13216e-17,4.47624e-16,1.33159e-15,-2.71458e-07,5.84896e-06,7.13937e-06,-2.48174e-16,-2.95428e-16,-1.29346e-15,-2.71458e-07,5.84896e-06,7.13937e-06,4.92817e-16,-5.69493e-17,-1.4868e-15,0.000151566,-0.0782787,0.0200158,-1.07965e-15,1.59708e-16,1.83286e-15,0.000151566,-0.0782787,0.0200158,9.72619e-16
0.024,0,0,0.00307302,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.22616e-17,-0.00280163,10.1043,10.1043,3.79922e-08,3.79922e-08,4,4,0,7.94577e-19,1.72148e-18,-0.100003,0.201739,-0.100667,3.42698e-17,-4.2121e-18,-1.55301e-17,-0.100003,0.201739,-0.100667,-2.88934e-17,2.26312e-16,1.44145e-16,-2.62818e-07,5.19959e-06,5.00906e-06,-9.73802e-16,8.16553e-19,-5.4629e-17,-2.62818e-07,5.19959e-06,5.00906e-06,1.21406e-15,-7.3796e-17,-1.72113e-15,0.000151578,-0.0782787,0.0200156,-1.06805e-15,1.68346e-16,2.0927e-15,0.000151578,-0.0782787,0.0200156,9.02966e-16
0.026,0,0,0.00307301,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.03724e-17,-0.00280166,10.1043,10.1043,4.11002e-08,4.11002e-08,4,4,0,1.27358e-18,1.89352e-18,-0.100003,0.201739,-0.100667,3.21072e-17,-4.14606e-18,-1.55532e-17,-0.100003,0.201739,-0.100667,-2.62825e-17,2.39502e-16,8.60224e-17,-2.53797e-07,4.55231e-06,2.91102e-06,-1.08131e-15,3.30196e-17,-1.15769e-17,-2.53797e-07,4.55231e-06,2.91102e-06,1.30547e-15,-5.59609e-17,-2.33302e-16,0.000151588,-0.0782787,0.0200155,-9.55614e-16,1.26247e-16,5.34749e-16,0.000151588,-0.0782787,0.0200155,7.76439e-16
0.028,0,0,0.003073,-5.05259e-18,0.201035,0.0330929,-0.0275,-0.0275,-9.40352e-18,-0.00280169,10.1043,10.1043,4.42003e-08,4.42003e-08,4,4,0,2.0399e-18,2.69577e-18,-0.100003,0.201739,-0.100667,2.93135e-17,-4.2731e-18,-1.61895e-17,-0.100003,0.201739,-0.100667,-2.38434e-17,3.83159e-16,4.01125e-16,-2.44421e-07,3.90843e-06,8.49009e-07,-1.39686e-15,-6.35204e-17,-3.18139e-16,-2.44421e-07,3.90843e-06,8.49009e-07,1.21956e-15,-7.22033e-17,-1.65215e-16,0.000151597,-0.0782787,0.0200156,-8.82733e-16,1.19695e-16,4.81187e-16,0.000151597,-0.0782787,0.0200156,6.91306e-16
0.03,0,0,0.00307299,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-8.32717e-18,-0.00280172,10.1043,10.1043,4.72862e-08,4.72862e-08,4,4,0,2.7782e-18,3.30997e-18,-0.100003,0.201739,-0.100667,2.61715e-17,-4.40219e-18,-1.66659e-17,-0.100003,0.201739,-0.100667,-2.14602e-17,3.6915e-16,3.07098e-16,-2.34717e-07,3.26924e-06,-1.17333e-06,-1.57099e-15,-6.45449e-17,-2.38167e-16,-2.34717e-07,3.26924e-06,-1.17333e-06,1.19157e-15,-1.15584e-16,-5.86389e-16,0.000151604,-0.0782786,0.0200158,-7.75435e-16,1.37209e-16,8.86618e-16,0.000151604,-0.0782786,0.0200158,6.24527e-16
0.032,0,0,0.00307298,-6.73679e-18,0.201035,0.0330929,-0.0275,-0.0275,-6.94145e-18,-0.00280174,10.1043,10.1043,5.03516e-08,5.03516e-08,4,4,0,3.44853e-18,3.78243e-18,-0.100003,0.201739,-0.100667,2.21826e-17,-4.5167e-18,-1.68689e-17,-0.100003,0.201739,-0.100667,-1.85593e-17,3.35164e-16,2.36228e-16,-2.24712e-07,2.63601e-06,-3.15252e-06,-1.99448e-15,-5.72542e-17,-1.01511e-16,-2.24712e-07,2.63601e-06,-3.15252e-06,1.45046e-15,-1.35745e-16,-4.86319e-16,0.00015161,-0.0782785,0.0200161,-6.68215e-16,1.41228e-16,8.00124e-16,0.00015161,-0.0782785,0.0200161,5.55116e-16
0.034,0,0,0.00307298,-6.73679e-18,0.201035,0.0330929,-0.0275,-0.0275,-6.20991e-18,-0.00280175,10.1043,10.1043,5.33906e-08,5.33906e-08,4,4,0,4.26754e-18,4.62408e-18,-0.100003,0.201739,-0.100667,1.89786e-17,-4.70255e-18,-1.75151e-17,-0.100003,0.201739,-0.100667,-1.56069e-17,4.09506e-16,4.20826e-16,-2.14434e-07,2.00995e-06,-5.08526e-06,-1.60197e-15,-9.29223e-17,-3.23128e-16,-2.14434e-07,2.00995e-06,-5.08526e-06,1.4762e-15,-1.5103e-16,-4.11178e-16,0.000151615,-0.0782783,0.0200165,-5.17026e-16,1.43628e-16,6.33996e-16,0.000151615,-0.0782783,0.0200165,4.48819e-16
0.036,0,0,0.00307297,-6.73679e-18,0.201035,0.0330929,-0.0275,-0.0275,-5.35002e-18,-0.00280176,10.1043,10.1043,5.6397e-08,5.6397e-08,4,4,0,5.06015e-18,5.26049e-18,-0.100003,0.201739,-0.100667,1.543e-17,-4.8591e-18,-1.79863e-17,-0.100003,0.201739,-0.100667,-1.23906e-17,3.96305e-16,3.18209e-16,-2.03909e-07,1.39224e-06,-6.9684e-06,-1.77433e-15,-7.82774e-17,-2.35574e-16,-2.03909e-07,1.39224e-06,-6.9684e-06,1.60816e-15,-1.86153e-16,-6.69066e-16,0.000151618,-0.078278,0.020017,-4.50122e-16,1.54266e-16,9.32675e-16,0.000151618,-0.078278,0.020017,3.58331e-16
0.038,0,0,0.00307297,-6.73679e-18,0.201035,0.0330929,-0.0275,-0.0275,-5.09675e-18,-0.00280176,10.1043,10.1043,5.93654e-08,5.93654e-08,4,4,0,5.81855e-18,6.22991e-18,-0.100003,0.201739,-0.100667,1.28702e-17,-5.07807e-18,-1.88197e-17,-0.100003,0.201739,-0.100667,-9.32853e-18,3.79201e-16,4.84709e-16,-1.93166e-07,7.84007e-07,-8.79895e-06,-1.27989e-15,-1.09485e-16,-4.16688e-16,-1.93166e-07,7.84007e-07,-8.79895e-06,1.53101e-15,-2.08058e-16,-5.58836e-16,0.000151621,-0.0782777,0.0200176,-3.30834e-16,1.56884e-16,8.36469e-16,0.000151621,-0.0782777,0.0200176,2.52019e-16
